,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
lct_gan_0_0,lct_gan_0_0\synth.csv,lct_gan_0_0\train.csv,lct_gan_0_0\val.csv,lct_gan_0_0\test.csv,0.4650283553875236,0.6454183266932271,0.0437551753266618,0.046107898333295,3.970431947999794,0.8955892213436082,0.8739655749911206,0.398074352757757,0.5208718334592021,0.0002879216109106,0.008511190148386
realtabformer_0_0,realtabformer_0_0\synth.csv,realtabformer_0_0\train.csv,realtabformer_0_0\val.csv,realtabformer_0_0\test.csv,0.6075471698113206,0.6454183266932271,0.0581774270944993,0.0130981700748542,0.5272003754854403,0.3927796610136006,0.5309070648199096,0.398074352757757,0.5208718334592021,0.4114317798979438,0.5499745724122463
tab_ddpm_0_0,tab_ddpm_0_0\synth.csv,tab_ddpm_0_0\train.csv,tab_ddpm_0_0\val.csv,tab_ddpm_0_0\test.csv,0.5411764705882353,0.6454183266932271,0.0012887149663022,0.0124784935541957,1.8750996244364784,0.4304684934311108,0.592944484686784,0.398074352757757,0.5208718334592021,0.3066885042502343,0.5209073717265976
tvae_0_0,tvae_0_0\synth.csv,tvae_0_0\train.csv,tvae_0_0\val.csv,tvae_0_0\test.csv,0.503370786516854,0.6454183266932271,0.0375355205582603,0.014967226995832,0.8834610325683605,0.5505111705140722,0.6833036063202613,0.398074352757757,0.5208718334592021,0.586315827215444,0.6785738298366654
lct_gan_1_0,lct_gan_1_0\synth.csv,lct_gan_1_0\train.csv,lct_gan_1_0\val.csv,lct_gan_1_0\test.csv,0.4351145038167939,0.6035502958579881,0.0935377957612227,0.0663518649526068,3.166773002678232,0.9822161826623804,0.863249337451185,0.4012892448024449,0.5217034059483369,0.0011911934151692,0.1767656020314198
realtabformer_1_0,realtabformer_1_0\synth.csv,realtabformer_1_0\train.csv,realtabformer_1_0\val.csv,realtabformer_1_0\test.csv,0.5241379310344827,0.6035502958579881,0.035935567907494,0.0143771089622473,0.5261646321620334,0.3661702427365284,0.5272867880657981,0.4012892448024449,0.5217034059483369,0.3905380676797972,0.5637605932934713
tab_ddpm_1_0,tab_ddpm_1_0\synth.csv,tab_ddpm_1_0\train.csv,tab_ddpm_1_0\val.csv,tab_ddpm_1_0\test.csv,0.5845511482254697,0.6035502958579881,0.0040235658422683,0.0124033768853816,1.3348062145441957,0.4366465075321166,0.5923234918018727,0.4012892448024449,0.5217034059483369,0.3323368932657816,0.546637699201252
tvae_1_0,tvae_1_0\synth.csv,tvae_1_0\train.csv,tvae_1_0\val.csv,tvae_1_0\test.csv,0.4853932584269663,0.6035502958579881,0.0795568689818504,0.017064849973166,0.885230712970329,0.5170203799940897,0.6505530134569083,0.4012892448024449,0.5217034059483369,0.5773712537166256,0.662234202425618
lct_gan_2_0,lct_gan_2_0\synth.csv,lct_gan_2_0\train.csv,lct_gan_2_0\val.csv,lct_gan_2_0\test.csv,0.3971631205673759,0.5750528541226215,0.0133203944102718,0.0488994100677568,2.3556511468140275,0.7320698111467526,0.8538618236108232,0.391240014065082,0.4975527914636806,0.0003626936941161,0.0203353069320589
realtabformer_2_0,realtabformer_2_0\synth.csv,realtabformer_2_0\train.csv,realtabformer_2_0\val.csv,realtabformer_2_0\test.csv,0.6374501992031872,0.5750528541226215,0.0366824990263467,0.00928839857158,0.3200130741773785,0.407815273645501,0.5621135030590232,0.391240014065082,0.4975527914636806,0.4010679805737365,0.5563975539832586
